filename,si_mean,si_std,ti_mean,ti_std,target_qp,target_gop
short2.mp4,64.18121425631959,31.459775815801407,10.174478534459398,9.542014636667744,25,50
pres3.mp4,89.36209391782724,30.767332238070555,4.565622357168486,8.448078093141138,30,90
tedx_pres4.mp4,40.76068072013385,21.429947721337175,4.086687715020002,4.3545307955434085,34,90
long4.mp4,115.43142966460162,16.85139130143852,3.5956721191661534,4.656656283880655,30,90
short8.mp4,68.62404190022559,22.937034498563797,6.832062076237615,6.679766416290199,30,90
gamereplay10.mp4,78.73092162675431,9.750573359884422,8.349381085502499,4.371099188279242,25,50
nature_vid.mp4,72.73827743192163,19.73471575340091,9.884966139479157,9.167291947473887,25,50
tedx_pres6.mp4,34.33801399814412,13.692347410705253,5.615952395089225,5.030894559791481,34,90
short4.mp4,97.59242729632139,12.719984036811026,4.253279751027754,2.796290099001323,30,90
tedx_pres3.mp4,86.4914562475824,16.67213669841956,4.029031544692156,5.231179731925351,30,90
short3.mp4,60.538215606828615,35.98588950597399,10.235912533183994,12.041125939281507,25,50
tedx_pres1.mp4,61.29129749355195,14.065648520348507,3.1462999762690314,3.588204379013963,30,90
animation4.mp4,164.99815753665018,23.646490388190163,2.4849495592330846,7.801834783825181,30,90
short1.mp4,46.79969143397614,18.72078291374153,2.9841764336090084,4.538546235478436,34,90
tedx_ani2.mp4,61.95733906547324,25.0070290649097,3.3556823830347926,8.119531887024761,30,90
gamereplay4.mp4,96.66897992855033,19.861581196154813,10.196116625383006,7.775566432632194,25,50
gamereplay3.mp4,112.66926729451589,9.311683352783966,7.373389474012621,6.253420537595996,30,90
gamereplay6.mp4,60.33118112668428,32.390431333012806,10.448370181409501,10.279738340201337,25,50
tedx_pres5.mp4,63.73894162662486,30.772956889444465,5.564870610159961,5.104860723401357,30,90
elegant_compression.mp4,58.71198231099145,21.18513642876507,7.909005098840974,6.290024055223505,30,90
tedx_ani4.mp4,116.09968982280851,37.353829530602866,6.862385565053849,10.71248188252821,30,90
short5.mp4,76.84016784435207,24.599270130836558,4.7157664666616075,6.886234142900097,30,90
gamereplay7.mp4,94.31564170982058,41.20910687391657,8.426458842321958,11.750860855963662,25,50
mv1.mp4,74.23502289913009,31.245298912451048,13.169342186420156,9.996357139193856,25,50
gamereplay5.mp4,98.47646431052016,23.89492431549611,12.136668594328233,8.91055232417604,25,50
mv4.mp4,60.36945538470855,23.12782526009725,7.87828509879298,8.283839655611297,30,90
long1.mp4,83.67725718409164,28.23037493630373,6.135031401774465,7.374386002245705,30,90
long8.mp4,54.76188655584312,16.861908618385225,7.7318877106653074,6.258280812761776,30,90
long2.mp4,99.08446669573654,26.143593125541926,8.626685507737081,9.893582233281808,25,50
gamereplay2.mp4,111.10081699721674,11.593442280620494,7.159705032669062,7.015220306230156,30,90
multi_scene_science.mp4,73.19725103918789,27.957944659785575,7.885853416538308,8.947627033057516,30,90
tedx_ani5.mp4,83.03999908415905,28.37434446919125,5.673082686977446,8.854987638232494,30,90
mv3.mp4,37.704095587475145,19.846607721725558,9.340394446432859,10.43511155576899,28,50
mv6.mp4,55.878807869025316,17.172126865264037,12.814079337883037,9.2487718597481,25,50
long3.mp4,72.70632645327588,16.683520784704733,11.963303714580114,12.005827203804653,25,50
short9.mp4,92.16191188616811,12.364985638022603,6.786781572044404,7.431709280853685,30,90
mv2.mp4,72.16426057159566,17.380186352973823,10.514254498158259,8.675828255553315,25,50
tedx_ani6.mp4,65.68931901960353,24.711966363141464,4.409457300192218,6.6255448202980105,30,90
long7.mp4,55.70853575520184,18.76674349419568,9.358921287631738,6.930621391352751,25,50
tedx_ani3.mp4,81.48409334362928,29.413990666657615,6.697800646852851,10.386681887238671,30,90
mv5.mp4,102.94657535670963,33.73596165460004,13.708487946337243,9.518477267424819,25,50
tedx_ani1.mp4,153.56194262892964,41.53169840810165,5.918053307483114,11.255042815307789,30,90
gamereplay1.mp4,105.61470870689294,11.363944643848258,8.561924266884077,6.335184946370019,25,50
video_compress_work.mp4,101.0169394843331,30.06602137643997,1.1618623683157132,3.8638951244800093,30,90
pres2.mp4,67.90902343445224,41.20403420320193,4.0974279364621236,4.088602862399268,30,90
short7.mp4,50.02901159047072,19.951299454707016,11.088435465364249,7.109101083508831,25,50
animation1.mp4,63.742212316548375,26.51743414512192,11.90382258713238,12.423442334586513,25,50
short6.mp4,50.21888140168645,15.044577616056104,6.398255596512051,7.133301580890926,30,90
mv7.mp4,44.56050332964469,16.694160028782818,5.658531725148491,7.200050968567117,34,90
animation3.mp4,82.0411975738823,22.11371077273113,5.900676066702636,8.14075913220629,30,90
gamereplay8.mp4,148.78320862058914,46.20526610766422,12.370216228942914,14.586968251627994,25,50
long5.mp4,88.98541428304759,27.379505900793202,8.73625147315536,8.05162055291561,25,50
gamereplay9.mp4,102.36025996838886,9.295347246858748,9.982116206466692,3.8289419961812823,25,50
pres1.mp4,56.233208290754455,13.675994341057399,12.364912551097815,7.382434931029673,25,50
animation2.mp4,78.47559266179806,27.432331684704472,8.24491723075035,11.027068722779804,25,50
tedx_pres2.mp4,32.532203121088195,15.182592963289876,2.868563321374533,2.8795677290089152,34,90
pres4.mp4,72.35076006353603,54.438364414822566,5.4286720883322,7.213695609534388,30,90
long6.mp4,69.79382287031109,39.192387106359405,6.526155952277047,7.186260050889404,30,90
